threshold,precision,recall,f1,pitch_precision,pitch_recall,pitch_f1,ecr,events,notes
0.7,0.1161880646831986,0.7937880872811491,0.2027057551548565,0.2733402078210301,0.9902298850571867,0.42842046338936746,0.8915352369928657,76.75379125780553,31.002676181980373
1,0.14023889511011048,0.7385492431687165,0.23571854288198757,0.28969790859796113,0.9672413793100669,0.445857341191022,0.8131005873008034,55.86173059768064,23.89830508474576
2,0.2326570680628082,0.5590721446824142,0.3285772048301698,0.4041608876559772,0.8373563218388398,0.5451824130313051,0.5432757678891164,20.550401427297057,10.904549509366637
3,0.3036308623297574,0.3945350894436024,0.34316491358895135,0.525730180806554,0.6517241379308472,0.5819861426926426,0.3279644860740648,8.190900981266726,5.896520963425513
4,0.3422797600251524,0.21309219579315644,0.2626605277557287,0.6312800349494839,0.4152298850573519,0.5009533709893287,0.1819555087349013,3.1935771632471006,2.825156110615522
4.3,0.3483391608390086,0.15667387458223772,0.21613559279230016,0.6634005763684937,0.3307471264366866,0.4414189832566761,0.141601031268951,2.2256913470115967,2.041034790365745
